06003-2024Q1,2024-03-31T00:00:00Z,0,11326679
06055-2022Q1,2022-03-31T00:00:00Z,0,1024327718
06043-2022Q1,2022-03-31T00:00:00Z,0,47850811
06083-2020Q3,2020-09-30T00:00:00Z,23043,1950327275
06087-2020Q3,2020-09-30T00:00:00Z,280,1058749786
06073-2020Q3,2020-09-30T00:00:00Z,8480,15582640249
06075-2023Q3,2023-09-30T00:00:00Z,3503024,4760943089
06113-2023Q3,2023-09-30T00:00:00Z,1280,1487428846
06025-2017Q2,2017-06-30T00:00:00Z,0,594781646
06077-2023Q3,2023-09-30T00:00:00Z,1760,6076575996
06081-2023Q3,2023-09-30T00:00:00Z,114280,5610443175
06105-2017Q2,2017-06-30T00:00:00Z,0,33424768
06055-2019Q2,2019-06-30T00:00:00Z,0,966458496
06081-2020Q1,2020-03-31T00:00:00Z,9480,3914646669
06097-2020Q1,2020-03-31T00:00:00Z,33600,2222253849
06013-2020Q1,2020-03-31T00:00:00Z,5360,4056112773
06113-2020Q1,2020-03-31T00:00:00Z,2000,1068745481
06061-2020Q1,2020-03-31T00:00:00Z,3600,2313456215
06003-2020Q4,2020-12-31T00:00:00Z,0,5149707
06115-2020Q4,2020-12-31T00:00:00Z,0,221099730
06035-2020Q4,2020-12-31T00:00:00Z,0,80447270
06063-2020Q4,2020-12-31T00:00:00Z,0,75253754
06101-2020Q4,2020-12-31T00:00:00Z,400,539372911
06107-2015Q4,2015-12-31T00:00:00Z,1820,1656324897
06043-2019Q3,2019-09-30T00:00:00Z,0,70121914
06025-2019Q3,2019-09-30T00:00:00Z,400,668936097
06069-2025Q4,2025-12-31T00:00:00Z,0,272359922
06111-2025Q4,2025-12-31T00:00:00Z,0,5299171760
06079-2019Q3,2019-09-30T00:00:00Z,126400,1415647383
06021-2025Q4,2025-12-31T00:00:00Z,0,134918180
06077-2025Q4,2025-12-31T00:00:00Z,0,6825060227
06029-2025Q4,2025-12-31T00:00:00Z,0,5945458320
06055-2017Q4,2017-12-31T00:00:00Z,17320,895860163
06057-2017Q4,2017-12-31T00:00:00Z,800,407485544
06067-2017Q4,2017-12-31T00:00:00Z,1170320,6548156453
