venue_id,venue_name,city_name,n_events,n_artists,capacity,capacity_source
4bd1efb2,Gloria Molina Grand Park,Los Angeles,4,4,500,default_small_club
5bd01348,Lodi Grape Festival Grounds,Lodi,4,4,500,default_small_club
bd23d5a,The Laugh Factory,Los Angeles,3,1,500,default_small_club
bd09d32,Stages,Santa Ana,3,3,500,default_small_club
53d037c5,Crybaby,Oakland,3,3,500,default_small_club
53d04321,Luckyduck Bicycle Cafe,Oakland,3,3,150,heuristic_cafe
bd62572,Phoenix Theatre,Petaluma,3,3,1200,heuristic_theater
33d05081,Pipeline Church,Visalia,3,3,500,default_small_club
6bd0d6fa,Bricks Rock Bar,Maywood,3,3,200,heuristic_bar
4bd673b6,Ramona Mainstage,Ramona,3,3,500,default_small_club
bd64d26,Chumash Casino,Santa Ynez,3,3,500,default_small_club
33d068b5,June Lake Jam Fest,June Lake,3,3,500,default_small_club
6bd39e12,Fingerprints Music,Long Beach,3,3,500,default_small_club
33d2b8d5,The Wakehouse,Reedley,3,3,500,default_small_club
1bd6714c,Hotel Utah,San Francisco,3,3,500,default_small_club
43d0cbd7,The Abbey Food & Bar,West Hollywood,3,3,200,heuristic_bar
13d5a9b1,The Bistro,Hayward,3,3,500,default_small_club
13d6c139,Swedish American Hall,San Francisco,3,3,800,heuristic_hall
23d738b7,Characters,Pomona,3,3,500,default_small_club
1bd38dc8,Santa Cruz Civic Auditorium,Santa Cruz,3,3,2500,heuristic_auditorium
53d5abdd,Helwig Winery,Plymouth,3,3,500,default_small_club
bd4758e,South Coast Winery,Temecula,3,3,500,default_small_club
13d63d89,The Airliner,Los Angeles,3,3,500,default_small_club
63d6121f,Oceanside Pier,San Diego,3,3,500,default_small_club
bd0310e,Yellow Door House Concert,Santa Ana,3,3,500,default_small_club
33d268b1,Barker Hangar,Santa Monica,3,3,200,heuristic_bar
6bd3a2fa,Fox Theater,Bakersfield,3,3,1200,heuristic_theater
23d3e41f,Retro Junkie,Walnut Creek,3,3,500,default_small_club
33d44421,Giggles Night Club,Glendale,3,3,500,default_small_club
63d62afb,Pantages Theatre,Los Angeles,3,1,1200,heuristic_theater
3bd1f834,GiGi's Cocktail Lounge,Ventura,3,3,300,heuristic_lounge
4bd3bf02,The OffBeat,Los Angeles,3,3,500,default_small_club
33d02ce5,Private Venue,Los Angeles,3,3,500,default_small_club
13d7bd21,McCallum Theatre,Palm Desert,3,3,1200,heuristic_theater
5bd1ff30,Carpenter Performing Arts Center,Long Beach,3,2,500,default_small_club
63d466ab,The Voice,Universal City,3,3,500,default_small_club
3bd1bc34,Rubycon Records & Tapes,Los Angeles,3,3,500,default_small_club
33d058d9,Surfers Point,Ventura,3,3,500,default_small_club
6bd29a6e,Lancaster Performing Arts Center,Lancaster,3,3,500,default_small_club
63d722bb,John Anson Ford Amphitheatre,Los Angeles,3,3,8000,heuristic_amphitheatre
2bd24c12,Coaxial Arts Foundation,Los Angeles,3,3,500,default_small_club
3bd2d474,Golden Gate Park Bandshell,San Francisco,3,3,500,default_small_club
7bd7f6c0,Alex Theatre,Glendale,3,3,1200,heuristic_theater
1bd741cc,Haight Street,San Francisco,3,3,500,default_small_club
6bd05a1a,Epstein Family Amphitheater,La Jolla,3,3,8000,heuristic_amphitheatre
73d05665,FTG Warehouse,Santa Ana,3,3,500,default_small_club
13d3a1a5,Senator Theatre,Chico,3,3,1200,heuristic_theater
63d7baf3,1015 Folsom,San Francisco,3,3,500,default_small_club
2bd054b6,Rebru Spirits,San Diego,3,3,500,default_small_club
23d3a0c7,Raven Theater,Healdsburg,3,3,1200,heuristic_theater
5bd4f7c0,Green Music Center,Rohnert Park,3,3,500,default_small_club
5bd6db5c,Palace Theatre,Los Angeles,3,3,1200,heuristic_theater
7bd2f6c0,The Britisher,Lancaster,3,2,500,default_small_club
3d6c923,Moscone Center,San Francisco,3,3,500,default_small_club
63d5622f,Gallo Center for the Arts,Modesto,3,3,500,default_small_club
3bd1fc08,Quarry Park Amphitheater,Rocklin,3,3,8000,heuristic_amphitheatre
63de5653,The Lodge Barber Shop,Long Beach,3,3,200,heuristic_bar
63d79a9f,Segerstrom Center for the Arts,Costa Mesa,3,3,500,default_small_club
43d0f737,Lagunitas Amphitheater,Petaluma,3,2,8000,heuristic_amphitheatre
7bd41a94,Kensington Club,San Diego,3,3,500,default_small_club
33d628b9,The Knockout,San Francisco,3,3,500,default_small_club
33d3ac65,Winstons Beach Club,San Diego,3,3,500,default_small_club
2bd4a0f2,Harvelle's,Santa Monica,3,2,500,default_small_club
4bd7332e,Sycuan Live and Up Close,El Cajon,3,3,500,default_small_club
bd2f10a,"Bovard Auditorium, University of Southern California",Los Angeles,3,2,2500,heuristic_auditorium
4bd62f0e,Pacific Design Center,West Hollywood,3,3,500,default_small_club
13d765fd,Paramount Ranch,Agoura Hills,3,3,500,default_small_club
3d671bb,Amoeba Music,Los Angeles,3,3,500,default_small_club
2bd398e2,Starlight Theater,Pala,3,3,1200,heuristic_theater
5bd023b0,Gallagher Square,San Diego,3,3,500,default_small_club
73d52e49,Feinstein's at the Nikko,San Francisco,3,1,500,default_small_club
2bd66002,Bar Sinister at Boardner's,Los Angeles,3,3,200,heuristic_bar
3bd398c4,Oakland Metro Operahouse,Oakland,3,3,500,default_small_club
4bd3bf7a,Bricks Restaurant & Sports Bar,Maywood,3,3,200,heuristic_bar
6bd7460e,Louise M. Davies Symphony Hall,San Francisco,3,3,800,heuristic_hall
2bd04cc2,The Pad,Perris,3,3,500,default_small_club
33d39441,BAL Theatre,San Leandro,3,3,1200,heuristic_theater
53d06b9d,Mi California,Hawthorne,3,3,500,default_small_club
13d09921,Private Venue,Los Angeles,3,3,500,default_small_club
73d2dae5,Private Venue,Santa Barbara,3,1,500,default_small_club
2bd6c016,McCabe's Guitar Shop,Santa Monica,3,2,500,default_small_club
bd5412e,Glen Helen Amphitheater,San Bernardino,3,3,8000,heuristic_amphitheatre
63d556f7,The Back Room,Berkeley,2,2,500,default_small_club
63d0fed3,Samba By The Sea,Redondo Beach,2,1,500,default_small_club
53d0ef25,Wasteland Weekend,North Edwards,2,1,500,default_small_club
73d57629,Central Park,Davis,2,2,500,default_small_club
3d3992f,Mary Stuart Rogers Theater,Modesto,2,2,1200,heuristic_theater
1bd52980,Ocean Ale House,San Francisco,2,1,500,default_small_club
63d07257,Ribald Brewing,Nevada City,2,2,500,default_small_club
1bd79968,Boardner's,Los Angeles,2,2,500,default_small_club
6bd20eca,Budweiser Pavilion and Stage,Bakersfield,2,2,6000,heuristic_pavilion
53d77b65,The Lodge at The Regency Center,San Francisco,2,2,500,default_small_club
43d3f34b,The Alibi,Palm Springs,2,2,500,default_small_club
23d57803,Commerce Casino,Commerce,2,2,500,default_small_club
7bd2ca6c,B Street Theatre at The Sofia Tsakopoulos Center for the Arts,Sacramento,2,2,1200,heuristic_theater
13d39905,Crazy Horse Saloon & Grill,Nevada City,2,2,500,default_small_club
5bd233c0,Molly Malone's,Los Angeles,2,2,500,default_small_club
4bd2bb9e,Ojai Deer Lodge,Ojai,2,2,500,default_small_club
3bde5c1c,The Tower Bar,San Diego,2,2,200,heuristic_bar
2bd390ae,Turlock Community Theatre,Turlock,2,2,1200,heuristic_theater
6bd56e26,Jam In The Van,Los Angeles,2,2,500,default_small_club
13d20519,Old Princeton Landing,Half Moon Bay,2,2,500,default_small_club
2bd3f04a,Club Tee Gee,Los Angeles,2,2,500,default_small_club
4bd2e32a,Audio SF,San Francisco,2,2,500,default_small_club
3bd39438,Performing Arts Center,San Luis Obispo,2,2,500,default_small_club
2bd548b6,Orange County Fairgrounds,Costa Mesa,2,2,8000,heuristic_fairgrounds
73d5caad,USC McCarthy Quad,Los Angeles,2,2,500,default_small_club
6bd2aab2,Desert Empire,Ridgecrest,2,1,500,default_small_club
53d393e1,Harrah's Resort Southern California,Valley Center,2,2,500,default_small_club
5bd0571c,Corazón Performing Arts,Topanga Canyon,2,2,500,default_small_club
43d057d7,Coco Beach Presents,Long Beach,2,2,500,default_small_club
4bd7dbde,Alex Madonna Expo Center,San Luis Obispo,2,2,6000,heuristic_expo
13d19951,SAFE Credit Union Performing Arts Center,Sacramento,2,2,500,default_small_club
1bd0ed94,Huntington City Beach,Huntington Beach,2,2,500,default_small_club
73d06241,Capos,Gilroy,2,2,500,default_small_club
73d136a1,Protector Brewery,San Diego,2,2,500,default_small_club
23d26c27,Tamalpais High School,Mill Valley,2,1,500,default_small_club
1bd645e8,Queen Bees,San Diego,2,2,500,default_small_club
53d3939d,Visalia Fox Theatre,Visalia,2,2,1200,heuristic_theater
2bd398ae,Pala Events Center,Pala,2,2,500,default_small_club
63d3f633,The Miracle Theater,Inglewood,2,1,1200,heuristic_theater
4bd5773e,Twin Pine Casino & Hotel,Middletown,2,1,500,default_small_club
1bd1352c,Third Window Brewing Co.,Santa Barbara,2,1,500,default_small_club
43d04fbb,Palo Alto Art Center Auditorium,Palo Alto,2,2,2500,heuristic_auditorium
3d589db,Social Hall SF,San Francisco,2,2,800,heuristic_hall
2bd6c44e,The Crepe Place,Santa Cruz,2,2,500,default_small_club
53d3a7f5,Toot's Tavern,Crockett,2,2,250,heuristic_tavern
bd411e2,The Lash,Los Angeles,2,2,500,default_small_club
23d0580b,Liquid Zoo,Los Angeles,2,2,500,default_small_club
4bd547e2,The Arena,Simi Valley,2,2,12000,heuristic_arena
5bd07be4,Cal Coast Credit Union Amphitheater,San Diego,2,2,8000,heuristic_amphitheatre
53d057a9,1881,Pasadena,2,1,500,default_small_club
5bd23770,Private Venue,Oakland,2,2,500,default_small_club
7bd066b8,Trione Vineyards and Winery,Geyserville,2,1,500,default_small_club
13d79da1,Fulton 55,Fresno,2,2,500,default_small_club
1bd04168,Aviator Nation Dreamland,Malibu,2,2,500,default_small_club
63d29ae7,"",Carlsbad,2,2,500,default_small_club
23d05893,Crosscity Christian Church,Fresno,2,2,500,default_small_club
13d29d75,Stanislaus County Fairgrounds,Turlock,2,2,8000,heuristic_fairgrounds
1bd39904,Miners Foundry Cultural Center,Nevada City,2,2,500,default_small_club
73d39a9d,Graton Resort & Casino,Rohnert Park,2,2,500,default_small_club
43d1b7e3,RingCentral Coliseum,Oakland,2,2,20000,heuristic_coliseum
3d04177,Norwegian Jewel - Stardust Theater,Los Angeles,2,1,1200,heuristic_theater
43d39393,Cellar Door,Visalia,2,2,500,default_small_club
3bd2d874,The Mint Supperclub,Los Angeles,2,2,500,default_small_club
2bd1207a,Highpoint Brewing Company,San Dimas,2,2,500,default_small_club
3d19d87,Lucca Bar & Grill,Benicia,2,1,200,heuristic_bar
23d3989b,Paradise Performing Arts Center,Paradise,2,2,500,default_small_club
63d1a21b,Old Town Blues Club,Temecula,2,1,500,default_small_club
3bd26c38,Royce Hall,Los Angeles,2,2,800,heuristic_hall
13d66d61,Wilshire Ebell Theatre,Los Angeles,2,1,1200,heuristic_theater
4bd5c7b2,California Center for the Arts,Escondido,2,2,500,default_small_club
1bd58128,Vibrato Jazz Club,Los Angeles,2,1,500,default_small_club
13d04509,My Place,Huntington Beach,2,2,500,default_small_club
7bd0f634,Lytton Plaza,Palo Alto,2,2,1500,heuristic_plaza
53d28f3d,The Great Northern,San Francisco,2,2,500,default_small_club
7bd062dc,The Church House,Santa Cruz,2,2,500,default_small_club
63d06683,Laughing Monk Brewing,San Francisco,2,1,500,default_small_club
bd3a50a,Fernwood Campground and Resort,Big Sur,2,1,500,default_small_club
2bd0149e,Obsidian Spirits Amphitheater,Corning,2,2,8000,heuristic_amphitheatre
13d1751d,SacYard Community Tap House,Sacramento,2,1,500,default_small_club
23d67c67,"",San Diego,2,2,500,default_small_club
13d195bd,Sham Rock Pop Up Shop,Los Angeles,2,1,500,default_small_club
5bd02fa8,The Whiskey Barrel,Hesperia,2,2,200,heuristic_bar
1bd515f8,Adams Avenue Street Fair,San Diego,2,2,500,default_small_club
1bd75960,John Van Duzer Theatre,Arcata,2,2,1200,heuristic_theater
73d79685,Laxson Auditorium,Chico,2,2,2500,heuristic_auditorium
43d02b2f,The Last Call,Los Angeles,2,2,500,default_small_club
6bd202b2,Highland Park Bowl,Los Angeles,2,2,500,default_small_club
63d026c7,Artist In The Alley,Pomona,2,2,500,default_small_club
73d39a71,State Theatre,Red Bluff,2,2,1200,heuristic_theater
13d11da9,The Lab,Hawthorne,2,2,500,default_small_club
7bd29ae4,Viejas Casino & Resort,Alpine,2,2,500,default_small_club
7bd06a04,Great Change Brewing Company,Bakersfield,2,2,500,default_small_club
73d206b9,Hilltop Tavern and Inn,Apple Valley,2,2,250,heuristic_tavern
3d171c3,Campbell Hall,University of California Santa Barbara Campus,2,2,800,heuristic_hall
73d7fea5,Cache Creek Casino Resort,Brooks,2,2,500,default_small_club
23d064a7,Hubba Wines,Paso Robles,2,2,500,default_small_club
3bd67020,Vacaville Performing Arts Theatre,Vacaville,2,2,1200,heuristic_theater
bd0fdc2,Beach House,San Diego,2,2,500,default_small_club
